p_L (%), p_R (%), x (m), y (m), heading (°)
0,29.82005141388175,-1.2655600742098863,-15.633805483101277,-53.12080676229533
0,29.82005141388175,-1.2599352585666097,-15.642225811285565,-44.77671976832066
0,29.82005141388175,-1.2599352585666097,-15.642225811285565,-44.77671976832066
0,29.82005141388175,-1.2599352585666097,-15.642225811285565,-44.77671976832066
0,29.82005141388175,-1.2599352585666097,-15.642225811285565,-44.77671976832066
0,29.82005141388175,-1.2612081786136196,-15.639522236914779,-46.311318428153236
0,29.82005141388175,-1.2876499866250641,-15.61990389852731,-36.197276381156335
0,29.82005141388175,-1.2876499866250641,-15.61990389852731,-36.197276381156335
0,29.82005141388175,-1.2876499866250641,-15.61990389852731,-36.197276381156335
0,29.82005141388175,-1.2876499866250641,-15.61990389852731,-36.197276381156335
0,29.82005141388175,-1.2895011903739135,-15.615631833280228,-39.20862245665979
0,29.82005141388175,-1.2125307356589745,-16.04285011520498,-31.248058711005175
0,29.82005141388175,-1.2125307356589745,-16.04285011520498,-31.248058711005175
0,29.82005141388175,-1.2125307356589745,-16.04285011520498,-31.248058711005175
0,29.82005141388175,-1.2125307356589745,-16.04285011520498,-31.248058711005175
0,29.82005141388175,-1.204412006929976,-16.047691392808858,-32.48484340555039
0,29.82005141388175,-0.990287850884067,-16.173162063708723,-21.41199339263376
0,29.82005141388175,-0.990287850884067,-16.173162063708723,-21.41199339263376
0,29.82005141388175,-0.990287850884067,-16.173162063708723,-21.41199339263376
0,29.82005141388175,-0.990287850884067,-16.173162063708723,-21.41199339263376
0,29.82005141388175,-0.9750982549573464,-16.182900651805376,-23.587260310896053
31.876606683804624,32.13367609254499,-0.909634953223035,-16.69169988356956,-15.099319154761574
31.876606683804624,31.619537275064268,-0.8369152532508746,-16.71380449821697,-12.510614837851836
31.876606683804624,29.30591259640103,-0.7863764564185914,-16.722507989065207,-9.26128550451956
0,-8.333333333333332,-0.7267943803668008,-16.731994797355664,-6.891803002222402
0,-10.15625,-0.675979964660872,-16.73864395959195,-4.853658654920879
0,-13.541666666666666,-0.5770183997936685,-16.747415412717913,-2.406093943057795
0,-17.1875,-0.5162474545487807,-16.749176170391042,-0.4181372402360854
0,-20.833333333333336,-0.4516641443141695,-16.749438150722487,1.5732507906982653
0,-24.479166666666664,-0.3990737269829172,-16.74784991502697,3.0762079339543367
0,-27.864583333333332,-0.7403555999534305,-17.257701211626692,4.225820419310261
0,-29.947916666666668,-0.7149807051179378,-17.258568484141048,4.723766941857676
0,-29.947916666666668,-0.5888135518434979,-17.242362075341635,5.828890946021952
